nrcs_fips,nrcs_county_bare,nrcs_abbr,nrcs_county
05131,Sebastian,AR,Sebastian County
05133,Sevier,AR,Sevier County
05135,Sharp,AR,Sharp County
05137,Stone,AR,Stone County
05139,Union,AR,Union County
05141,Van Buren,AR,Van Buren County
05143,Washington,AR,Washington County
05145,White,AR,White County
05147,Woodruff,AR,Woodruff County
05149,Yell,AR,Yell County
06001,Alameda,CA,Alameda County
06003,Alpine,CA,Alpine County
06005,Amador,CA,Amador County
06007,Butte,CA,Butte County
06009,Calaveras,CA,Calaveras County
06011,Colusa,CA,Colusa County
06013,Contra Costa,CA,Contra Costa County
06015,Del Norte,CA,Del Norte County
06017,El Dorado,CA,El Dorado County
06019,Fresno,CA,Fresno County
06021,Glenn,CA,Glenn County
06023,Humboldt,CA,Humboldt County
06025,Imperial,CA,Imperial County
06027,Inyo,CA,Inyo County
06029,Kern,CA,Kern County
06031,Kings,CA,Kings County
06033,Lake,CA,Lake County
06035,Lassen,CA,Lassen County
06037,Los Angeles,CA,Los Angeles County
06039,Madera,CA,Madera County
06041,Marin,CA,Marin County
06043,Mariposa,CA,Mariposa County
06045,Mendocino,CA,Mendocino County
06047,Merced,CA,Merced County
06049,Modoc,CA,Modoc County
06051,Mono,CA,Mono County
06053,Monterey,CA,Monterey County
06055,Napa,CA,Napa County
06057,Nevada,CA,Nevada County
06059,Orange,CA,Orange County
06061,Placer,CA,Placer County
06063,Plumas,CA,Plumas County
06065,Riverside,CA,Riverside County
06067,Sacramento,CA,Sacramento County
06069,San Benito,CA,San Benito County
06071,San Bernardino,CA,San Bernardino County
06073,San Diego,CA,San Diego County
06075,San Francisco,CA,San Francisco County
06077,San Joaquin,CA,San Joaquin County
06079,San Luis Obispo,CA,San Luis Obispo County
06081,San Mateo,CA,San Mateo County
06083,Santa Barbara,CA,Santa Barbara County
06085,Santa Clara,CA,Santa Clara County
06087,Santa Cruz,CA,Santa Cruz County
06089,Shasta,CA,Shasta County
06091,Sierra,CA,Sierra County
06093,Siskiyou,CA,Siskiyou County
06095,Solano,CA,Solano County
06097,Sonoma,CA,Sonoma County
06099,Stanislaus,CA,Stanislaus County
06101,Sutter,CA,Sutter County
06103,Tehama,CA,Tehama County
06105,Trinity,CA,Trinity County
06107,Tulare,CA,Tulare County
06109,Tuolumne,CA,Tuolumne County
06111,Ventura,CA,Ventura County
06113,Yolo,CA,Yolo County
06115,Yuba,CA,Yuba County
08001,Adams,CO,Adams County
08003,Alamosa,CO,Alamosa County
08005,Arapahoe,CO,Arapahoe County
08007,Archuleta,CO,Archuleta County
08009,Baca,CO,Baca County
08011,Bent,CO,Bent County
08013,Boulder,CO,Boulder County
08015,Chaffee,CO,Chaffee County
08017,Cheyenne,CO,Cheyenne County
08019,Clear Creek,CO,Clear Creek County
08021,Conejos,CO,Conejos County
08023,Costilla,CO,Costilla County
08025,Crowley,CO,Crowley County
08027,Custer,CO,Custer County
08029,Delta,CO,Delta County
08031,Denver,CO,Denver County
08033,Dolores,CO,Dolores County
08035,Douglas,CO,Douglas County
08037,Eagle,CO,Eagle County
08039,Elbert,CO,Elbert County
08041,El Paso,CO,El Paso County
08043,Fremont,CO,Fremont County
08045,Garfield,CO,Garfield County
08047,Gilpin,CO,Gilpin County
08049,Grand,CO,Grand County
08051,Gunnison,CO,Gunnison County
08053,Hinsdale,CO,Hinsdale County
08055,Huerfano,CO,Huerfano County
08057,Jackson,CO,Jackson County
08059,Jefferson,CO,Jefferson County
08061,Kiowa,CO,Kiowa County
08063,Kit Carson,CO,Kit Carson County
08065,Lake,CO,Lake County
08067,La Plata,CO,La Plata County
08069,Larimer,CO,Larimer County
08071,Las Animas,CO,Las Animas County
08073,Lincoln,CO,Lincoln County
08075,Logan,CO,Logan County
08077,Mesa,CO,Mesa County
08079,Mineral,CO,Mineral County
08081,Moffat,CO,Moffat County
08083,Montezuma,CO,Montezuma County
08085,Montrose,CO,Montrose County
08087,Morgan,CO,Morgan County
08089,Otero,CO,Otero County
08091,Ouray,CO,Ouray County
08093,Park,CO,Park County
08095,Phillips,CO,Phillips County
08097,Pitkin,CO,Pitkin County
08099,Prowers,CO,Prowers County
08101,Pueblo,CO,Pueblo County
08103,Rio Blanco,CO,Rio Blanco County
08105,Rio Grande,CO,Rio Grande County
08107,Routt,CO,Routt County
08109,Saguache,CO,Saguache County
08111,San Juan,CO,San Juan County
08113,San Miguel,CO,San Miguel County
08115,Sedgwick,CO,Sedgwick County
08117,Summit,CO,Summit County
08119,Teller,CO,Teller County
08121,Washington,CO,Washington County
08123,Weld,CO,Weld County
08125,Yuma,CO,Yuma County
09001,Fairfield,CT,Fairfield County
09003,Hartford,CT,Hartford County
09005,Litchfield,CT,Litchfield County
09007,Middlesex,CT,Middlesex County
09009,New Haven,CT,New Haven County
09011,New London,CT,New London County
09013,Tolland,CT,Tolland County
09015,Windham,CT,Windham County
10001,Kent,DE,Kent County
10003,New Castle,DE,New Castle County
10005,Sussex,DE,Sussex County
11001,Washington,DC,Washington County
12001,Alachua,FL,Alachua County
12003,Baker,FL,Baker County
12005,Bay,FL,Bay County
12007,Bradford,FL,Bradford County
12009,Brevard,FL,Brevard County
12011,Broward,FL,Broward County
12013,Calhoun,FL,Calhoun County
12015,Charlotte,FL,Charlotte County
12017,Citrus,FL,Citrus County
12019,Clay,FL,Clay County
12021,Collier,FL,Collier County
12023,Columbia,FL,Columbia County
12027,DeSoto,FL,DeSoto County
12029,Dixie,FL,Dixie County
12031,Duval,FL,Duval County
12033,Escambia,FL,Escambia County
12035,Flagler,FL,Flagler County
12037,Franklin,FL,Franklin County
12039,Gadsden,FL,Gadsden County
12041,Gilchrist,FL,Gilchrist County
12043,Glades,FL,Glades County
12045,Gulf,FL,Gulf County
12047,Hamilton,FL,Hamilton County
12049,Hardee,FL,Hardee County
12051,Hendry,FL,Hendry County
12053,Hernando,FL,Hernando County
12055,Highlands,FL,Highlands County
12057,Hillsborough,FL,Hillsborough County
12059,Holmes,FL,Holmes County
12061,Indian River,FL,Indian River County
12063,Jackson,FL,Jackson County
12065,Jefferson,FL,Jefferson County
12067,Lafayette,FL,Lafayette County
12069,Lake,FL,Lake County
12071,Lee,FL,Lee County
12073,Leon,FL,Leon County
12075,Levy,FL,Levy County
12077,Liberty,FL,Liberty County
12079,Madison,FL,Madison County
12081,Manatee,FL,Manatee County
12083,Marion,FL,Marion County
12085,Martin,FL,Martin County
12086,Miami-Dade,FL,Miami-Dade County
12087,Monroe,FL,Monroe County
12089,Nassau,FL,Nassau County
12091,Okaloosa,FL,Okaloosa County
12093,Okeechobee,FL,Okeechobee County
12095,Orange,FL,Orange County
12097,Osceola,FL,Osceola County
12099,Palm Beach,FL,Palm Beach County
12101,Pasco,FL,Pasco County
12103,Pinellas,FL,Pinellas County
12105,Polk,FL,Polk County
12107,Putnam,FL,Putnam County
12109,St Johns,FL,St Johns County
12111,St Lucie,FL,St Lucie County
12113,Santa Rosa,FL,Santa Rosa County
12115,Sarasota,FL,Sarasota County
12117,Seminole,FL,Seminole County
12119,Sumter,FL,Sumter County
12121,Suwannee,FL,Suwannee County
12123,Taylor,FL,Taylor County
12125,Union,FL,Union County
12127,Volusia,FL,Volusia County
12129,Wakulla,FL,Wakulla County
12131,Walton,FL,Walton County
12133,Washington,FL,Washington County
13001,Appling,GA,Appling County
13003,Atkinson,GA,Atkinson County
13005,Bacon,GA,Bacon County
13007,Baker,GA,Baker County
13009,Baldwin,GA,Baldwin County
13011,Banks,GA,Banks County
13013,Barrow,GA,Barrow County
13015,Bartow,GA,Bartow County
13017,Ben Hill,GA,Ben Hill County
13019,Berrien,GA,Berrien County
13021,Bibb,GA,Bibb County
13023,Bleckley,GA,Bleckley County
13025,Brantley,GA,Brantley County
13027,Brooks,GA,Brooks County
13029,Bryan,GA,Bryan County
13031,Bulloch,GA,Bulloch County
13033,Burke,GA,Burke County
13035,Butts,GA,Butts County
13037,Calhoun,GA,Calhoun County
13039,Camden,GA,Camden County
13043,Candler,GA,Candler County
13045,Carroll,GA,Carroll County
13047,Catoosa,GA,Catoosa County
13049,Charlton,GA,Charlton County
13051,Chatham,GA,Chatham County
13053,Chattahoochee,GA,Chattahoochee County
13055,Chattooga,GA,Chattooga County
13057,Cherokee,GA,Cherokee County
13059,Clarke,GA,Clarke County
13061,Clay,GA,Clay County
13063,Clayton,GA,Clayton County
13065,Clinch,GA,Clinch County
13067,Cobb,GA,Cobb County
13069,Coffee,GA,Coffee County
13071,Colquitt,GA,Colquitt County
13073,Columbia,GA,Columbia County
13075,Cook,GA,Cook County
13077,Coweta,GA,Coweta County
13079,Crawford,GA,Crawford County
13081,Crisp,GA,Crisp County
13083,Dade,GA,Dade County
13085,Dawson,GA,Dawson County
13087,Decatur,GA,Decatur County
13089,DeKalb,GA,DeKalb County
13091,Dodge,GA,Dodge County
13093,Dooly,GA,Dooly County
13095,Dougherty,GA,Dougherty County
13097,Douglas,GA,Douglas County
13099,Early,GA,Early County
13101,Echols,GA,Echols County
13103,Effingham,GA,Effingham County
13105,Elbert,GA,Elbert County
13107,Emanuel,GA,Emanuel County
13109,Evans,GA,Evans County
13111,Fannin,GA,Fannin County
13113,Fayette,GA,Fayette County
13115,Floyd,GA,Floyd County
13117,Forsyth,GA,Forsyth County
13119,Franklin,GA,Franklin County
13121,Fulton,GA,Fulton County
13123,Gilmer,GA,Gilmer County
13125,Glascock,GA,Glascock County
13127,Glynn,GA,Glynn County
13129,Gordon,GA,Gordon County
13131,Grady,GA,Grady County
13133,Greene,GA,Greene County
13135,Gwinnett,GA,Gwinnett County
13137,Habersham,GA,Habersham County
13139,Hall,GA,Hall County
13141,Hancock,GA,Hancock County
13143,Haralson,GA,Haralson County
13145,Harris,GA,Harris County
13147,Hart,GA,Hart County
13149,Heard,GA,Heard County
13151,Henry,GA,Henry County
13153,Houston,GA,Houston County
13155,Irwin,GA,Irwin County
13157,Jackson,GA,Jackson County
13159,Jasper,GA,Jasper County
13161,Jeff Davis,GA,Jeff Davis County
13163,Jefferson,GA,Jefferson County
13165,Jenkins,GA,Jenkins County
13167,Johnson,GA,Johnson County
13169,Jones,GA,Jones County
13171,Lamar,GA,Lamar County
13173,Lanier,GA,Lanier County
13175,Laurens,GA,Laurens County
13177,Lee,GA,Lee County
13179,Liberty,GA,Liberty County
13181,Lincoln,GA,Lincoln County
13183,Long,GA,Long County
13185,Lowndes,GA,Lowndes County
13187,Lumpkin,GA,Lumpkin County
13189,McDuffie,GA,McDuffie County
13191,McIntosh,GA,McIntosh County
13193,Macon,GA,Macon County
13195,Madison,GA,Madison County
13197,Marion,GA,Marion County
13199,Meriwether,GA,Meriwether County
13201,Miller,GA,Miller County
13205,Mitchell,GA,Mitchell County
13207,Monroe,GA,Monroe County
13209,Montgomery,GA,Montgomery County
13211,Morgan,GA,Morgan County
13213,Murray,GA,Murray County
13215,Muscogee,GA,Muscogee County
13217,Newton,GA,Newton County
13219,Oconee,GA,Oconee County
13221,Oglethorpe,GA,Oglethorpe County
13223,Paulding,GA,Paulding County
13225,Peach,GA,Peach County
13227,Pickens,GA,Pickens County
13229,Pierce,GA,Pierce County
13231,Pike,GA,Pike County
13233,Polk,GA,Polk County
13235,Pulaski,GA,Pulaski County
13237,Putnam,GA,Putnam County
13239,Quitman,GA,Quitman County
13241,Rabun,GA,Rabun County
13243,Randolph,GA,Randolph County
13245,Richmond,GA,Richmond County
13247,Rockdale,GA,Rockdale County
13249,Schley,GA,Schley County
13251,Screven,GA,Screven County
13253,Seminole,GA,Seminole County
13255,Spalding,GA,Spalding County
13257,Stephens,GA,Stephens County
13259,Stewart,GA,Stewart County
13261,Sumter,GA,Sumter County
13263,Talbot,GA,Talbot County
13265,Taliaferro,GA,Taliaferro County
13267,Tattnall,GA,Tattnall County
13269,Taylor,GA,Taylor County
13271,Telfair,GA,Telfair County
13273,Terrell,GA,Terrell County
13275,Thomas,GA,Thomas County
13277,Tift,GA,Tift County
13279,Toombs,GA,Toombs County
13281,Towns,GA,Towns County
13283,Treutlen,GA,Treutlen County
13285,Troup,GA,Troup County
13287,Turner,GA,Turner County
13289,Twiggs,GA,Twiggs County
13291,Union,GA,Union County
13293,Upson,GA,Upson County
13295,Walker,GA,Walker County
13297,Walton,GA,Walton County
13299,Ware,GA,Ware County
13301,Warren,GA,Warren County
13303,Washington,GA,Washington County
13305,Wayne,GA,Wayne County
13307,Webster,GA,Webster County
13309,Wheeler,GA,Wheeler County
13311,White,GA,White County
13313,Whitfield,GA,Whitfield County
13315,Wilcox,GA,Wilcox County
13317,Wilkes,GA,Wilkes County
13319,Wilkinson,GA,Wilkinson County
13321,Worth,GA,Worth County
15001,Hawaii,HI,Hawaii County
15003,Honolulu,HI,Honolulu County
15007,Kauai,HI,Kauai County
15009,Maui,HI,Maui County
16001,Ada,ID,Ada County
16003,Adams,ID,Adams County
16005,Bannock,ID,Bannock County
16007,Bear Lake,ID,Bear Lake County
16009,Benewah,ID,Benewah County
16011,Bingham,ID,Bingham County
16013,Blaine,ID,Blaine County
16015,Boise,ID,Boise County
16017,Bonner,ID,Bonner County
16019,Bonneville,ID,Bonneville County
16021,Boundary,ID,Boundary County
16023,Butte,ID,Butte County
16025,Camas,ID,Camas County
16027,Canyon,ID,Canyon County
16029,Caribou,ID,Caribou County
16031,Cassia,ID,Cassia County
16033,Clark,ID,Clark County
16035,Clearwater,ID,Clearwater County
16037,Custer,ID,Custer County
16039,Elmore,ID,Elmore County
16041,Franklin,ID,Franklin County
16043,Fremont,ID,Fremont County
16045,Gem,ID,Gem County
16047,Gooding,ID,Gooding County
16049,Idaho,ID,Idaho County
16051,Jefferson,ID,Jefferson County
16053,Jerome,ID,Jerome County
16055,Kootenai,ID,Kootenai County
16057,Latah,ID,Latah County
16059,Lemhi,ID,Lemhi County
16061,Lewis,ID,Lewis County
16063,Lincoln,ID,Lincoln County
16065,Madison,ID,Madison County
16067,Minidoka,ID,Minidoka County
16069,Nez Perce,ID,Nez Perce County
16071,Oneida,ID,Oneida County
16073,Owyhee,ID,Owyhee County
16075,Payette,ID,Payette County
16077,Power,ID,Power County
16079,Shoshone,ID,Shoshone County
16081,Teton,ID,Teton County
16083,Twin Falls,ID,Twin Falls County
16085,Valley,ID,Valley County
16087,Washington,ID,Washington County
17001,Adams,IL,Adams County
17003,Alexander,IL,Alexander County
17005,Bond,IL,Bond County
17007,Boone,IL,Boone County
17009,Brown,IL,Brown County
17011,Bureau,IL,Bureau County
17013,Calhoun,IL,Calhoun County
17015,Carroll,IL,Carroll County
17017,Cass,IL,Cass County
17019,Champaign,IL,Champaign County
17021,Christian,IL,Christian County
17023,Clark,IL,Clark County
17025,Clay,IL,Clay County
17027,Clinton,IL,Clinton County
17029,Coles,IL,Coles County
17031,Cook,IL,Cook County
17033,Crawford,IL,Crawford County
17035,Cumberland,IL,Cumberland County
17037,DeKalb,IL,DeKalb County
17039,De Witt,IL,De Witt County
17041,Douglas,IL,Douglas County
17043,DuPage,IL,DuPage County
17045,Edgar,IL,Edgar County
17047,Edwards,IL,Edwards County
17049,Effingham,IL,Effingham County
17051,Fayette,IL,Fayette County
17053,Ford,IL,Ford County
17055,Franklin,IL,Franklin County
17057,Fulton,IL,Fulton County
17059,Gallatin,IL,Gallatin County
17061,Greene,IL,Greene County
17063,Grundy,IL,Grundy County
17065,Hamilton,IL,Hamilton County
17067,Hancock,IL,Hancock County
17069,Hardin,IL,Hardin County
17071,Henderson,IL,Henderson County
17073,Henry,IL,Henry County
17075,Iroquois,IL,Iroquois County
17077,Jackson,IL,Jackson County
17079,Jasper,IL,Jasper County
17081,Jefferson,IL,Jefferson County
17083,Jersey,IL,Jersey County
17085,Jo Daviess,IL,Jo Daviess County
17087,Johnson,IL,Johnson County
17089,Kane,IL,Kane County
17091,Kankakee,IL,Kankakee County
17093,Kendall,IL,Kendall County
17095,Knox,IL,Knox County
17097,Lake,IL,Lake County
17099,La Salle,IL,La Salle County
17101,Lawrence,IL,Lawrence County
17103,Lee,IL,Lee County
17105,Livingston,IL,Livingston County
17107,Logan,IL,Logan County
17109,McDonough,IL,McDonough County
17111,McHenry,IL,McHenry County
17113,McLean,IL,McLean County
17115,Macon,IL,Macon County
17117,Macoupin,IL,Macoupin County
17119,Madison,IL,Madison County
17121,Marion,IL,Marion County
17123,Marshall,IL,Marshall County
17125,Mason,IL,Mason County
17127,Massac,IL,Massac County
17129,Menard,IL,Menard County
17131,Mercer,IL,Mercer County
17133,Monroe,IL,Monroe County
17135,Montgomery,IL,Montgomery County
17137,Morgan,IL,Morgan County
17139,Moultrie,IL,Moultrie County
17141,Ogle,IL,Ogle County
17143,Peoria,IL,Peoria County
17145,Perry,IL,Perry County
17147,Piatt,IL,Piatt County
17149,Pike,IL,Pike County
17151,Pope,IL,Pope County
17153,Pulaski,IL,Pulaski County
17155,Putnam,IL,Putnam County
17157,Randolph,IL,Randolph County
17159,Richland,IL,Richland County
17161,Rock Island,IL,Rock Island County
17163,St Clair,IL,St Clair County
17165,Saline,IL,Saline County
17167,Sangamon,IL,Sangamon County
17169,Schuyler,IL,Schuyler County
17171,Scott,IL,Scott County
17173,Shelby,IL,Shelby County
17175,Stark,IL,Stark County
17177,Stephenson,IL,Stephenson County
17179,Tazewell,IL,Tazewell County
17181,Union,IL,Union County
17183,Vermilion,IL,Vermilion County
17185,Wabash,IL,Wabash County
17187,Warren,IL,Warren County
17189,Washington,IL,Washington County
17191,Wayne,IL,Wayne County
17193,White,IL,White County
17195,Whiteside,IL,Whiteside County
17197,Will,IL,Will County
17199,Williamson,IL,Williamson County
17201,Winnebago,IL,Winnebago County
17203,Woodford,IL,Woodford County
18001,Adams,IN,Adams County
18003,Allen,IN,Allen County
18005,Bartholomew,IN,Bartholomew County
18007,Benton,IN,Benton County
18009,Blackford,IN,Blackford County
18011,Boone,IN,Boone County
18013,Brown,IN,Brown County
18015,Carroll,IN,Carroll County
18017,Cass,IN,Cass County
18019,Clark,IN,Clark County
18021,Clay,IN,Clay County
18023,Clinton,IN,Clinton County
18025,Crawford,IN,Crawford County
18027,Daviess,IN,Daviess County
18029,Dearborn,IN,Dearborn County
18031,Decatur,IN,Decatur County
18033,DeKalb,IN,DeKalb County
18035,Delaware,IN,Delaware County
18037,Dubois,IN,Dubois County
18039,Elkhart,IN,Elkhart County
18041,Fayette,IN,Fayette County
18043,Floyd,IN,Floyd County
18045,Fountain,IN,Fountain County
18047,Franklin,IN,Franklin County
18049,Fulton,IN,Fulton County
18051,Gibson,IN,Gibson County
18053,Grant,IN,Grant County
18055,Greene,IN,Greene County
18057,Hamilton,IN,Hamilton County
18059,Hancock,IN,Hancock County
18061,Harrison,IN,Harrison County
18063,Hendricks,IN,Hendricks County
18065,Henry,IN,Henry County
18067,Howard,IN,Howard County
18069,Huntington,IN,Huntington County
18071,Jackson,IN,Jackson County
18073,Jasper,IN,Jasper County
18075,Jay,IN,Jay County
18077,Jefferson,IN,Jefferson County
18079,Jennings,IN,Jennings County
18081,Johnson,IN,Johnson County
18083,Knox,IN,Knox County
18085,Kosciusko,IN,Kosciusko County
18087,La Grange,IN,La Grange County
18089,Lake,IN,Lake County
18091,La Porte,IN,La Porte County
18093,Lawrence,IN,Lawrence County
18095,Madison,IN,Madison County
18097,Marion,IN,Marion County
18099,Marshall,IN,Marshall County
18101,Martin,IN,Martin County
18103,Miami,IN,Miami County
18105,Monroe,IN,Monroe County
18107,Montgomery,IN,Montgomery County
18109,Morgan,IN,Morgan County
18111,Newton,IN,Newton County
18113,Noble,IN,Noble County
18115,Ohio,IN,Ohio County
18117,Orange,IN,Orange County
18119,Owen,IN,Owen County
18121,Parke,IN,Parke County
18123,Perry,IN,Perry County
18125,Pike,IN,Pike County
18127,Porter,IN,Porter County
18129,Posey,IN,Posey County
18131,Pulaski,IN,Pulaski County
18133,Putnam,IN,Putnam County
18135,Randolph,IN,Randolph County
18137,Ripley,IN,Ripley County
18139,Rush,IN,Rush County
18141,St Joseph,IN,St Joseph County
18143,Scott,IN,Scott County
18145,Shelby,IN,Shelby County
18147,Spencer,IN,Spencer County
18149,Starke,IN,Starke County
18151,Steuben,IN,Steuben County
18153,Sullivan,IN,Sullivan County
18155,Switzerland,IN,Switzerland County
18157,Tippecanoe,IN,Tippecanoe County
18159,Tipton,IN,Tipton County
18161,Union,IN,Union County
18163,Vanderburgh,IN,Vanderburgh County
18165,Vermillion,IN,Vermillion County
18167,Vigo,IN,Vigo County
18169,Wabash,IN,Wabash County
18171,Warren,IN,Warren County
18173,Warrick,IN,Warrick County
18175,Washington,IN,Washington County
18177,Wayne,IN,Wayne County
18179,Wells,IN,Wells County
18181,White,IN,White County
18183,Whitley,IN,Whitley County
19001,Adair,IA,Adair County
19003,Adams,IA,Adams County
19005,Allamakee,IA,Allamakee County
19007,Appanoose,IA,Appanoose County
19009,Audubon,IA,Audubon County
19011,Benton,IA,Benton County
19013,Black Hawk,IA,Black Hawk County
19015,Boone,IA,Boone County
19017,Bremer,IA,Bremer County
19019,Buchanan,IA,Buchanan County
19021,Buena Vista,IA,Buena Vista County
19023,Butler,IA,Butler County
19025,Calhoun,IA,Calhoun County
19027,Carroll,IA,Carroll County
19029,Cass,IA,Cass County
19031,Cedar,IA,Cedar County
19033,Cerro Gordo,IA,Cerro Gordo County
19035,Cherokee,IA,Cherokee County
19037,Chickasaw,IA,Chickasaw County
19039,Clarke,IA,Clarke County
19041,Clay,IA,Clay County
